tax,generator_subsidy,battery_subsidy,step,n_counterfactuals,welfare,welfare_USA,welfare_CHN,welfare_EU,welfare_IND,p_breakdown,value_at_risk,uniform,contiguous,delay,seed
1.0,0.0,0.0,200000,13,1.5800388335330557,0.4105758397547204,0.5381967348900474,0.4755064436039198,0.15575981528436825,0.3,0.0,True,False,4,0
1.0,0.0,0.0,170000,64,1.26982923500989,0.32959077782551655,0.4289860977232146,0.38097353236910503,0.13027882709205377,0.3,0.0,True,True,4,0
0.0,0.5,0.0,200000,13,1.1936547830418984,0.3098523913797395,0.4086728130192515,0.3593186387443589,0.11581093989854856,0.3,2.5,True,False,4,0
0.0,0.8,0.0,200000,64,1.1771741987964082,0.3081927331473623,0.39617005631867797,0.3411343762968534,0.13167703303351444,0.6,0.0,True,True,4,0
0.0,0.8,0.0,200000,13,1.079625332402032,0.27918266327647334,0.36462178150896984,0.3263271959682408,0.10949369164834791,0.6,0.0,True,False,4,0
0.0,0.5,0.0,170000,64,1.0075936480332373,0.26295431608034014,0.3319116111948662,0.2986598552972752,0.1140678654607556,0.6,0.0,True,True,4,0
0.0,0.8,0.0,170000,64,0.8628737420402617,0.21519374163522212,0.2969778982462106,0.26293800129501854,0.08776410086381035,0.15,2.5,True,True,4,0
0.0,0.5,0.0,200000,13,0.7938338370769962,0.20659064890010118,0.2689667996787103,0.2423083113576432,0.0759680771405416,0.6,0.0,True,False,4,0
1.0,0.0,0.0,200000,64,0.7586226411465666,0.1991088164368587,0.2553072046532409,0.22967508761589048,0.07453153244057648,0.15,2.5,True,True,4,0
1.0,0.0,0.0,200000,64,0.7169398947281819,0.1879137298599789,0.2432744865466328,0.20599130086199627,0.07976037745957391,0.6,0.0,True,True,4,0
1.0,0.0,0.0,172000,64,0.6663803961800598,0.1691862385071405,0.22484814637738157,0.18902961398631038,0.08331639730922732,0.9,0.0,True,True,4,0
1.0,0.0,0.0,200000,13,0.6441538374021177,0.1610461843063516,0.228832566852731,0.19542463889483713,0.05885044734819799,0.3,2.5,True,False,4,0
0.0,0.8,0.0,172000,64,0.5531410821025152,0.1446123999293481,0.17907435403117788,0.15568428689463945,0.07377004124734973,0.9,0.0,True,True,4,0
1.0,0.0,0.0,200000,13,0.5029827300528329,0.13377325785549427,0.1735071952720012,0.1498246178167497,0.0458776591085878,0.6,0.0,True,False,4,0
0.0,0.5,0.0,200000,64,0.44039685898003866,0.11324767267598423,0.14712541591178765,0.12439048088435087,0.055633289507915885,0.9,0.0,True,True,4,0
0.0,0.5,0.0,170000,64,0.391706005375067,0.09420355937465298,0.13550232237912913,0.12404170790870765,0.03795841571257725,0.15,2.5,True,True,4,0
0.0,0.8,0.0,200000,13,0.18529697317558966,0.048345001999846315,0.05751022419092937,0.05979049954983204,0.01965124743498196,0.9,0.0,True,False,4,0
0.0,0.5,0.0,200000,13,0.13303013555672932,0.035816729213962326,0.037147245921708656,0.046740923528277134,0.013325236892781195,0.9,0.0,True,False,4,0
0.0,0.8,0.0,196000,64,0.12160821502673876,0.030199233798084396,0.03839647397887311,0.04085196887733149,0.012160538372449766,0.3,2.5,True,True,4,0
1.0,0.0,0.0,200000,13,0.09880328647721805,0.032326972053494434,0.03420620413342456,0.02651107584416158,0.0057590344461374695,0.9,0.0,True,False,4,0
0.0,0.8,0.0,200000,13,-0.18036312894085188,-0.042622702724883464,-0.0617705421121974,-0.05746758668484867,-0.018502297418922346,0.6,2.5,True,False,4,0
0.0,0.5,0.0,196000,64,-0.21199437850827246,-0.05621313462413528,-0.07758439077742374,-0.057979741831570134,-0.02021711127514332,0.3,2.5,True,True,4,0
0.0,0.5,0.0,200000,13,-0.5079091917376353,-0.12608055720251812,-0.16845019490887456,-0.15485585338315222,-0.05852258624309036,0.6,2.5,True,False,4,0
1.0,0.0,0.0,170000,64,-0.533606372882177,-0.1397693575055804,-0.18001926376870453,-0.1534231680685948,-0.06039458353929732,0.3,2.5,True,True,4,0
0.0,0.8,0.0,200000,64,-0.7238203476580383,-0.19843320728957728,-0.24014778213848262,-0.20744961883862487,-0.07778973939135349,0.6,2.5,True,True,4,0
1.0,0.0,0.0,200000,13,-0.7842167171652658,-0.19587394959221258,-0.27029230273543725,-0.24025912322000698,-0.0777913416176089,0.6,2.5,True,False,4,0
0.0,0.5,0.0,172000,64,-0.8988613749611076,-0.24888778733903247,-0.29791374896606254,-0.2608405566266536,-0.09121928202935906,0.6,2.5,True,True,4,0
1.0,0.0,0.0,200000,64,-1.2171665268360412,-0.3266063682839156,-0.4009567604917412,-0.3517829484648843,-0.13782044959550022,0.6,2.5,True,True,4,0
